Run tabu parameter tuning
START FOR bqp250.1
Size shrunk from 250 to 250
Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
1226 | 183777 | 64 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 2.30447076s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
3 | 430 | 13 | Search | -45479 | -45479 | Global Improvement.
3 | 431 | 14 | Search | -45491 | -45491 | Global Improvement.
3 | 432 | 15 | Search | -45513 | -45513 | Global Improvement.
3 | 433 | 16 | Search | -45523 | -45523 | Global Improvement.
3 | 436 | 19 | Search | -45565 | -45565 | Global Improvement.
3 | 437 | 20 | Search | -45589 | -45589 | Global Improvement.
3 | 438 | 21 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 0.621829578s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
3 | 430 | 13 | Search | -45479 | -45479 | Global Improvement.
3 | 431 | 14 | Search | -45491 | -45491 | Global Improvement.
3 | 432 | 15 | Search | -45513 | -45513 | Global Improvement.
3 | 433 | 16 | Search | -45523 | -45523 | Global Improvement.
3 | 436 | 19 | Search | -45565 | -45565 | Global Improvement.
3 | 437 | 20 | Search | -45589 | -45589 | Global Improvement.
3 | 438 | 21 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 0.21185086s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
9 | 1354 | 62 | Diversification | -45410 | -45410 | Global Improvement.
9 | 1355 | 1 | Search | -45444 | -45444 | Global Improvement.
9 | 1356 | 2 | Search | -45461 | -45461 | Global Improvement.
9 | 1357 | 3 | Search | -45473 | -45473 | Global Improvement.
9 | 1362 | 8 | Search | -45474 | -45474 | Global Improvement.
9 | 1364 | 10 | Search | -45543 | -45543 | Global Improvement.
9 | 1365 | 11 | Search | -45579 | -45579 | Global Improvement.
150 | 22085 | 95 | Search | -45581 | -45581 | Global Improvement.
150 | 22086 | 96 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 1.856298102s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
8 | 1354 | 62 | Diversification | -45410 | -45410 | Global Improvement.
8 | 1355 | 1 | Search | -45444 | -45444 | Global Improvement.
9 | 1356 | 2 | Search | -45461 | -45461 | Global Improvement.
9 | 1357 | 3 | Search | -45473 | -45473 | Global Improvement.
9 | 1362 | 8 | Search | -45474 | -45474 | Global Improvement.
9 | 1364 | 10 | Search | -45543 | -45543 | Global Improvement.
9 | 1365 | 11 | Search | -45579 | -45579 | Global Improvement.
101 | 15134 | 19 | Search | -45589 | -45589 | Global Improvement.
101 | 15135 | 20 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 0.826608261s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
16 | 2557 | 15 | Diversification | -45413 | -45413 | Global Improvement.
16 | 2558 | 1 | Search | -45461 | -45461 | Global Improvement.
16 | 2559 | 2 | Search | -45473 | -45473 | Global Improvement.
16 | 2569 | 12 | Search | -45508 | -45508 | Global Improvement.
34 | 5133 | 64 | Diversification | -45563 | -45563 | Global Improvement.
34 | 5135 | 2 | Search | -45581 | -45581 | Global Improvement.
34 | 5136 | 3 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 4.411217329s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
0 | 31 | 31 | Search | -45317 | -45317 | Global Improvement.
0 | 32 | 32 | Search | -45397 | -45397 | Global Improvement.
0 | 33 | 33 | Search | -45399 | -45399 | Global Improvement.
0 | 42 | 42 | Search | -45404 | -45404 | Global Improvement.
17 | 2557 | 15 | Diversification | -45413 | -45413 | Global Improvement.
17 | 2558 | 1 | Search | -45461 | -45461 | Global Improvement.
17 | 2559 | 2 | Search | -45473 | -45473 | Global Improvement.
17 | 2562 | 5 | Search | -45474 | -45474 | Global Improvement.
17 | 2564 | 7 | Search | -45543 | -45543 | Global Improvement.
17 | 2565 | 8 | Search | -45579 | -45579 | Global Improvement.
53 | 7831 | 16 | Search | -45607 | -45607 | Global Improvement.

 Optimization finished in 1.429118297s. 
 Objective of best solution found: -45607Warning: Given tenure ratio leads to small tabu tenure of 3.Minimum tabu_tenure 5 set instead
0 | 1 | 1 | Search | -42198 | -42198 | Global Improvement.
0 | 2 | 2 | Search | -42484 | -42484 | Global Improvement.
0 | 3 | 3 | Search | -42710 | -42710 | Global Improvement.
0 | 4 | 4 | Search | -42902 | -42902 | Global Improvement.
0 | 5 | 5 | Search | -43080 | -43080 | Global Improvement.
0 | 6 | 6 | Search | -43300 | -43300 | Global Improvement.
0 | 7 | 7 | Search | -43450 | -43450 | Global Improvement.
0 | 8 | 8 | Search | -43596 | -43596 | Global Improvement.
0 | 9 | 9 | Search | -43704 | -43704 | Global Improvement.
0 | 10 | 10 | Search | -43800 | -43800 | Global Improvement.
0 | 11 | 11 | Search | -43874 | -43874 | Global Improvement.
0 | 12 | 12 | Search | -44036 | -44036 | Global Improvement.
0 | 13 | 13 | Search | -44168 | -44168 | Global Improvement.
0 | 14 | 14 | Search | -44240 | -44240 | Global Improvement.
0 | 15 | 15 | Search | -44288 | -44288 | Global Improvement.
0 | 16 | 16 | Search | -44333 | -44333 | Global Improvement.
0 | 17 | 17 | Search | -44403 | -44403 | Global Improvement.
0 | 18 | 18 | Search | -44517 | -44517 | Global Improvement.
0 | 19 | 19 | Search | -44560 | -44560 | Global Improvement.
0 | 20 | 20 | Search | -44596 | -44596 | Global Improvement.
0 | 21 | 21 | Search | -44625 | -44625 | Global Improvement.
0 | 22 | 22 | Search | -44745 | -44745 | Global Improvement.
0 | 23 | 23 | Search | -44851 | -44851 | Global Improvement.
0 | 24 | 24 | Search | -44909 | -44909 | Global Improvement.
0 | 25 | 25 | Search | -44951 | -44951 | Global Improvement.
0 | 26 | 26 | Search | -45149 | -45149 | Global Improvement.
0 | 27 | 27 | Search | -45165 | -45165 | Global Improvement.
0 | 28 | 28 | Search | -45199 | -45199 | Global Improvement.
0 | 29 | 29 | Search | -45211 | -45211 | Global Improvement.
0 | 30 | 30 | Search | -45231 | -45231 | Global Improvement.
